"","rho","p.value","BH"
"Otu00627",0.547469686002427,0.000664599264467163,0.0137773137672993
"Otu00628",0.640231822478599,3.44327950787279e-05,0.00146530672390587
"Otu00631",0.558834877394567,0.000484295887257698,0.0108689767665721
"Otu00632",0.742036732123851,3.36894605058411e-07,5.39100593012305e-05
"Otu00635",-0.512573430190573,0.00164281417686115,0.0272786550206163
"Otu00638",0.574480926367219,0.000307343237469298,0.00763878729467575
"Otu00641",0.698816029081717,3.02676468509449e-06,0.000248120362588991
"Otu00642",0.700074595681852,2.85481315326783e-06,0.00023738759723518
"Otu00643",0.518530224125399,0.00141720423753317,0.0245260315566574
"Otu00644",0.695329765871,3.55365050788497e-06,0.000274006392131078
"Otu00648",0.779462384029601,3.44455879326472e-08,1.21479957264472e-05
"Otu00649",0.746863364184455,2.56697124321402e-07,4.64900381048132e-05
"Otu00656",0.649082039530158,2.46481734173121e-05,0.001141128068591
"Otu00657",0.620196963423486,7.06937940168567e-05,0.00253966019390586
"Otu00658",0.608672262750071,0.000104606018284822,0.00329812470335803
"Otu00659",-0.581816269887395,0.000246360498507263,0.00644537550573929
"Otu00660",0.552264509146826,0.000582329604516016,0.0124816206883557
"Otu00661",0.834158346792168,4.83641194258559e-10,1.61418703163753e-06
"Otu00662",0.721369742282646,1.01233187866074e-06,0.000115006110235134
"Otu00665",0.669485565779572,1.09327179522145e-05,0.000619954100770841
"Otu00668",0.501723616890554,0.00213559143390365,0.0331520416413893
"Otu00669",0.532773231733537,0.000984532995655607,0.0186248132611352
"Otu00670",0.556607075572068,0.000515752793429983,0.0113674835027403
"Otu00676",0.705940873596842,2.16501831457514e-06,0.0001968144859277
"Otu00679",0.576850184318715,0.000286317374428164,0.00723160304731373
"Otu00681",-0.494823935532747,0.00251224300566568,0.0374082430473979
"Otu00683",0.696625253033588,3.34879937387625e-06,0.000265213558548714
"Otu00685",0.508296900514013,0.00182364293086627,0.0293832895129853
"Otu00689",-0.507977195238043,0.00183783593084737,0.0295711851600462
"Otu00691",0.653598969550361,2.06959035815962e-05,0.000990816383968919
"Otu00694",0.486672967998323,0.0030307304214325,0.043069923866136
"Otu00695",0.602037619247279,0.000130185660882827,0.00391949432371841
"Otu00699",0.765648404372158,8.38931134819568e-08,2.153840450856e-05
"Otu00701",0.492047921354823,0.00267939127978828,0.0392658335184572
"Otu00702",0.698275267318732,3.10351020532068e-06,0.000250590465397785
"Otu00704",0.68142602288813,6.59603756677691e-06,0.000425699518432621
"Otu00705",0.488763222417148,0.00288960923706484,0.041595773632499
"Otu00706",-0.644254223734293,2.9617890852757e-05,0.00131551860074708
"Otu00708",0.66128588147953,1.52689628711893e-05,0.000803443197206299
"Otu00710",0.521460564157761,0.00131656930011493,0.0233199458366831
"Otu00711",0.766371383490027,8.01946920219582e-08,2.08176509967668e-05
"Otu00714",-0.634735990454806,4.21559708623742e-05,0.00170396184646652
"Otu00715",0.539608870446972,0.000821889168074088,0.0161903850199957
"Otu00717",0.499406590418958,0.00225616333910239,0.0345191513369018
